source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
19,ex19,task133_transpose,True,False,ok,"(28, 28)","(28, 28)","(28, 28)",0,v4_plus9_compiler
19,ex19,task133_mirror_lr,True,False,ok,"(28, 28)","(28, 28)","(28, 28)",0,v4_plus9_compiler
19,ex19,task133_mirror_ud,True,False,ok,"(28, 28)","(28, 28)","(28, 28)",0,v4_plus9_compiler
19,ex19,task133_zero_pad_top_left,True,False,ok,"(29, 29)","(29, 29)","(29, 29)",0,v4_plus9_compiler
19,ex19,task133_zero_pad_bottom_right,True,False,ok,"(29, 29)","(29, 29)","(29, 29)",0,v4_plus9_compiler
20,ex20,original,True,False,ok,"(29, 17)","(29, 17)","(29, 17)",0,v4_plus9_compiler
20,ex20,task133_color_bijection,True,False,ok,"(29, 17)","(29, 17)","(29, 17)",0,v4_plus9_compiler
20,ex20,task133_transpose,True,False,ok,"(17, 29)","(17, 29)","(17, 29)",0,v4_plus9_compiler
20,ex20,task133_mirror_lr,True,False,ok,"(29, 17)","(29, 17)","(29, 17)",0,v4_plus9_compiler
20,ex20,task133_mirror_ud,True,False,ok,"(29, 17)","(29, 17)","(29, 17)",0,v4_plus9_compiler
20,ex20,task133_zero_pad_top_left,True,False,ok,"(30, 18)","(30, 18)","(30, 18)",0,v4_plus9_compiler
20,ex20,task133_zero_pad_bottom_right,True,False,ok,"(30, 18)","(30, 18)","(30, 18)",0,v4_plus9_compiler
21,ex21,original,True,False,ok,"(28, 24)","(28, 24)","(28, 24)",0,v4_plus9_compiler
21,ex21,task133_color_bijection,True,False,ok,"(28, 24)","(28, 24)","(28, 24)",0,v4_plus9_compiler
21,ex21,task133_transpose,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
21,ex21,task133_mirror_lr,True,False,ok,"(28, 24)","(28, 24)","(28, 24)",0,v4_plus9_compiler
21,ex21,task133_mirror_ud,True,False,ok,"(28, 24)","(28, 24)","(28, 24)",0,v4_plus9_compiler
21,ex21,task133_zero_pad_top_left,True,False,ok,"(29, 25)","(29, 25)","(29, 25)",0,v4_plus9_compiler
21,ex21,task133_zero_pad_bottom_right,True,False,ok,"(29, 25)","(29, 25)","(29, 25)",0,v4_plus9_compiler
