check,split,index,variant,eligible,exact,pixel_errors,false_positive_3,false_negative_3,details
far_additive_foreground_noise,arc-gen,181,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,181,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,181,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,182,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,182,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,182,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,183,n=1,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,183,n=2,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,183,n=3,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,184,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,184,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,184,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,185,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,185,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,185,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,186,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,186,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,186,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,187,n=1,1,0,56,0,56,
far_additive_foreground_noise,arc-gen,187,n=2,1,0,56,0,56,
far_additive_foreground_noise,arc-gen,187,n=3,1,0,56,0,56,
far_additive_foreground_noise,arc-gen,188,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,188,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,188,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,189,n=1,1,0,35,0,35,
far_additive_foreground_noise,arc-gen,189,n=2,1,0,35,0,35,
far_additive_foreground_noise,arc-gen,189,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,190,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,190,n=2,1,1,0,0,0,
