task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task370,9935,152,27,694,0.0699,160,arange_i,20,int64,0,0,0,1,0,"Cast:21, Mul:21, Add:19, Sub:15, Clip:12",152,0.5,fp16
task080,10205,123,35,981,0.0961,144,K_DIR_8,72,float16,0,0,0,1,0,"And:24, Slice:16, Where:15, Greater:12, ReduceMax:12",123,0.5,fp16
task177,3834,33,16,490,0.1278,120,row_idx_3,30,int32,0,0,0,1,0,"ReduceMax:5, Where:5, Reshape:4, Sub:3, Cast:2",33,0.5,fp16
task355,3971,41,12,348,0.0876,120,col_coord,30,int32,0,0,0,1,0,"Cast:9, ArgMax:6, Where:4, Greater:3, Equal:2",41,0.5,fp16
task094,2950,25,12,442,0.1498,100,k_hit,50,float16,0,0,0,1,0,"Cast:6, Slice:2, Concat:2, Greater:2, ReduceMax:2",25,0.5,fp16
task118,6545,64,11,304,0.0464,98,k_plus3,49,float16,0,0,0,1,0,"And:11, MaxPool:10, Conv:9, Greater:7, Cast:6",64,0.5,fp16
task173,10061,68,24,536,0.0533,81,non_diag_u8,81,uint8,0,0,0,1,0,"QLinearMatMul:15, Cast:12, Reshape:10, Transpose:7, Conv:7",68,0.5,fp16
task056,815,9,3,154,0.189,80,output_bank,40,float16,0,0,0,1,0,"Slice:1, Cast:1, Sub:1, Conv:1, ArgMax:1",9,0.5,fp16
task186,1210,11,5,146,0.1207,72,red_bank,36,float16,0,0,0,1,0,"Sub:3, Cast:2, Slice:1, ReduceSum:1, Gather:1",11,0.5,fp16
task189,6704,110,55,1210,0.1805,72,v3,36,float16,0,0,0,1,0,"Mul:36, Slice:24, Cast:24, Sum:9, ReduceSum:4",110,0.5,fp16
task002,14560,95,31,672,0.0462,64,pad_to_30,8,int64,0,0,0,1,0,"Conv:24, Greater:23, Where:21, Slice:11, Sub:6",95,0.5,fp16
task023,33067,374,19,258,0.0078,64,crop_pads_back,8,int64,0,0,0,1,0,"Cast:75, Conv:72, Mul:72, Greater:67, Add:41",374,0.5,fp16
task093,6234,56,10,296,0.0475,64,pad_to_30,8,int64,0,0,0,1,0,"Cast:15, And:14, MaxPool:4, ReduceSum:4, Conv:4",56,0.5,fp16
task100,4954,28,14,292,0.0589,64,pads,8,int64,0,0,0,0,1,"ArgMax:5, ReduceSum:3, Greater:3, Cast:3, Add:3",28,0.5,has_lookup_ops
task105,8053,63,18,538,0.0668,64,pad_row_top,8,int64,0,0,0,1,0,"And:17, Cast:11, Not:8, Slice:6, Pad:5",63,0.5,fp16
task119,8400,140,23,514,0.0612,64,pads_out,8,int64,0,0,0,1,0,"Mul:21, Where:20, And:14, Cast:13, Greater:9",140,0.5,fp16
task160,2189,19,11,300,0.137,64,pad_to_30,8,int64,0,0,0,1,0,"Cast:3, Greater:3, Slice:2, Concat:2, ConvTranspose:2",19,0.5,fp16
task169,20803,168,63,1480,0.0711,64,pad_one,8,int64,0,0,0,1,0,"Greater:54, Cast:28, Conv:27, ConvTranspose:27, Or:26",168,0.5,fp16
task206,4032,39,15,280,0.0694,64,pads_obj,8,int64,0,0,0,1,0,"Where:8, Cast:4, Sub:4, Equal:3, Add:3",39,0.5,fp16
task243,16583,135,27,806,0.0486,64,crop_pads_back,8,int64,0,0,0,1,0,"MaxPool:56, Where:31, Max:28, Slice:11, Greater:3",135,0.5,fp16
task250,7749,129,19,305,0.0394,64,pad_to_30,8,int64,0,0,0,1,0,"And:48, Greater:16, Cast:14, ReduceSum:14, Or:11",129,0.5,fp16
task292,1065,7,9,274,0.2573,64,pad_to_external,8,int64,0,0,0,1,0,"Conv:2, Slice:1, Cast:1, Mul:1, Sum:1",7,0.5,fp16
task297,2373,24,18,276,0.1163,64,pad_to_30,8,int64,0,0,0,1,0,"Where:4, Slice:3, ReduceSum:3, Cast:2, Mul:2",24,0.5,fp16
task306,4155,33,33,543,0.1307,64,pad_col_30,8,int64,0,0,0,1,0,"Slice:14, Or:5, Concat:3, Greater:2, Tile:2",33,0.5,fp16
task362,1696,28,11,216,0.1274,64,v8,8,int64,0,0,0,1,0,"Cast:6, ReduceSum:3, ReduceMax:3, Greater:2, ArgMax:2",28,0.5,fp16
task378,5481,96,16,308,0.0562,64,pad_to_external,8,int64,0,0,0,1,0,"And:22, Where:14, ReduceMax:9, Greater:7, Sub:7",96,0.5,fp16
task382,19986,239,91,3232,0.1617,64,row_pad_right1,8,int64,0,0,0,1,0,"Slice:45, Pad:36, Where:30, And:29, Equal:28",239,0.5,fp16
task387,12388,125,25,410,0.0331,64,task387_pads,8,int64,0,0,0,1,0,"Where:34, Equal:28, Add:13, Sub:9, Greater:5",125,0.5,fp16
task388,6536,52,32,1326,0.2029,64,pad_TL,8,int64,0,0,0,1,0,"Pad:19, Where:13, Equal:6, Cast:3, Add:3",52,0.5,fp16
task397,7145,86,30,378,0.0529,64,pad_9_to_10,8,int64,0,0,0,1,0,"Cast:25, Conv:18, Greater:16, Gather:9, Pad:5",86,0.5,fp16
task072,1289,11,8,206,0.1598,60,hc_zero,30,float16,0,0,0,1,0,"Sub:4, Slice:2, Cast:2, Abs:1, Concat:1",11,0.5,fp16
task138,5533,94,17,336,0.0607,60,row_idx,30,float16,0,0,0,1,0,"Cast:14, And:9, Gather:9, Greater:7, Equal:7",94,0.5,fp16
task215,1729,21,7,244,0.1411,60,row_mod0_h,30,float16,0,0,0,1,0,"Mul:7, ReduceMax:5, Cast:4, Conv:1, Greater:1",21,0.5,fp16
task234,4106,58,14,266,0.0648,60,row_idx,30,float16,0,0,0,1,0,"Where:12, Greater:7, ReduceSum:6, Sub:5, Cast:4",58,0.5,fp16
task334,889,9,5,128,0.144,54,gray_bank,27,float16,0,0,0,1,0,"Sub:2, Slice:1, ReduceSum:1, ArgMax:1, Gather:1",9,0.5,fp16
task213,26541,392,33,924,0.0348,48,v5,24,float16,0,0,0,1,0,"Mul:96, Cast:93, Less:59, ReduceSum:40, Where:24",392,0.5,fp16
task092,2297,30,11,134,0.0583,40,colors,10,float32,0,0,0,1,0,"Equal:9, Where:5, Cast:4, ReduceSum:3, ReduceMax:2",30,0.5,fp16
task103,1281,11,9,146,0.114,40,output_bank,20,float16,0,0,0,1,0,"Slice:2, Cast:2, Sub:1, Abs:1, ReduceSum:1",11,0.5,fp16
task161,4323,39,9,212,0.049,32,st_c19,4,int64,0,0,0,1,0,"Greater:7, And:7, Cast:5, ReduceMax:5, Slice:3",39,0.5,fp16
task347,753,12,3,42,0.0558,20,tgt_vec,10,float16,0,0,0,1,0,"Slice:2, Cast:2, ReduceMax:2, Mul:2, Max:1",12,0.5,fp16
