task,source,score,cost,delta_vs_cur
318,current,18.37460763199204,754.0,0.0
319,konbu,15.138168122732704,19184.0,7.22421110994766
320,current,16.445511023840066,5190.0,0.0
321,current,16.385498626116764,5511.0,0.0
322,current,18.046315789129466,1047.0,0.0
323,current,14.688616961783998,30073.0,0.0
324,konbu,12.841307263516637,190745.0,1.172992714150908
325,current,14.330533108254256,43022.0,0.0
326,current,19.888012211643456,166.0,0.0
327,current,16.07096209351156,7548.0,0.0
328,current,13.884006157119696,67238.0,0.0
329,current,15.76399188127524,10260.0,0.0
330,current,14.014300580163544,59024.0,0.0
331,current,18.186555400489105,910.0,0.0
332,current,15.952178557521592,8500.0,0.0
333,current,14.877658081568091,24893.0,0.0
334,current,18.157316717761574,937.0,0.0
335,current,14.193063823603016,49362.0,0.0
336,current,16.294503180112258,6036.0,0.0
337,current,22.697414907005953,10.0,0.0
338,biohack,14.27126302002186,45649.0,0.02701465226729738
339,current,18.21554293736236,884.0,0.0
340,current,13.885434941408004,67142.0,0.0
341,current,15.15493636760159,18865.0,0.0
342,current,15.5946686681292,12153.0,0.0
343,current,14.741253505583026,28531.0,0.0
344,current,17.17196196787417,2510.0,0.0
345,current,14.2821437053151,45155.0,0.0
346,current,15.875435405045222,9178.0,0.0
347,current,17.603051397378987,1631.0,0.0
348,current,16.103411928208782,7307.0,0.0
349,current,13.103296228159197,146782.0,0.0
350,current,14.734337655454574,28729.0,0.0
351,current,14.532506311227156,35154.0,0.0
352,current,16.20124341714016,6626.0,0.0
353,current,16.403810802357263,5411.0,0.0
354,current,14.653398373570951,31151.0,0.0
355,current,15.185780915222054,18292.0,0.0
356,current,16.482406888562437,5002.0,0.0
357,current,16.12094533795773,7180.0,0.0
358,current,13.370705832404326,112341.0,0.0
359,current,14.156974048870026,51176.0,0.0
360,current,15.68026725125262,11156.0,0.0
361,current,15.289308672551847,16493.0,0.0
362,current,15.604176407892284,12038.0,0.0
363,konbu,14.098807640977505,54241.0,2.246392271704872
364,current,13.075938868305272,150853.0,0.0
365,current,14.01463948280006,59004.0,0.0
366,current,7.0887587575917195,60083225.0,0.0
367,konbu,14.083966527900577,55052.0,2.8200182077296763
368,current,14.615970788806472,32339.0,0.0
369,current,16.04726523289313,7729.0,0.0
370,current,12.221756427464182,354422.0,0.0
371,current,15.039140167606002,21181.0,0.0
372,current,15.633510945533883,11690.0,0.0
373,current,18.55905345936708,627.0,0.0
374,current,14.140289716998373,52037.0,0.0
375,current,15.372793097191211,15172.0,0.0
376,current,14.388895461309366,40583.0,0.0
377,current,13.919689898259202,64881.0,0.0
378,current,14.378672654313554,41000.0,0.0
379,current,13.808671952355809,72499.0,0.0
380,current,18.397412107810663,737.0,0.0
381,current,14.3494217374937,42217.0,0.0
382,current,12.824252550315938,194026.0,0.0
383,current,13.224964148940517,129967.0,0.0
384,current,13.77808213091013,74751.0,0.0
385,current,21.59880261833785,30.0,0.0
386,current,17.300610593743265,2207.0,0.0
387,konbu,13.169100919148114,137434.0,1.434582340045198
388,current,15.714644924218373,10779.0,0.0
389,current,17.451444020830127,1898.0,0.0
390,current,14.884591636172145,24721.0,0.0
391,current,15.787561829941671,10021.0,0.0
392,current,14.662459882503796,30870.0,0.0
393,current,16.321879144477478,5873.0,0.0
394,current,16.53346872338599,4753.0,0.0
395,current,17.581219117249205,1667.0,0.0
396,current,12.967995068137444,168048.0,0.0
397,current,15.036311444773116,21241.0,0.0
398,current,13.658254391724892,84267.0,0.0
399,current,17.48302277539568,1839.0,0.0
400,current,14.532534757896764,35153.0,0.0
